id,blue1,green1,black1,red1,yellow1,size1,blue2,green2,black2,red2,yellow2,size2,prob1,prob2,blue,green,black,red,yellow,qball
1,1,3,8,0,0,12,3,1,8,0,0,12,0.5,0.5,1,1,1,0,0,blue
2,0,1,3,4,4,12,0,3,1,4,4,12,0.5,0.5,0,1,1,1,1,black
3,3,2,3,3,1,12,1,2,3,3,3,12,0.5,0.5,1,1,1,1,1,blue
4,1,3,7,1,0,12,3,1,1,7,0,12,0.5,0.5,1,1,1,1,0,green
5,3,2,6,0,1,12,1,2,6,0,3,12,0.5,0.5,1,1,1,0,1,blue
6,0,1,3,4,4,12,0,3,1,0,8,12,0.5,0.5,0,1,1,1,1,black
7,1,2,9,0,0,12,2,1,9,0,0,12,0.5,0.5,1,1,1,0,0,green
8,1,2,3,3,3,12,2,1,3,3,3,12,0.5,0.5,1,1,1,1,1,blue
9,6,0,1,2,3,12,6,0,2,1,3,12,0.5,0.5,1,0,1,1,1,red
10,0,1,2,6,3,12,0,2,1,0,9,12,0.5,0.5,0,1,1,1,1,black
11,1,2,1,8,0,12,2,1,8,1,0,12,0.5,0.5,1,1,1,1,0,blue
12,1,1,5,5,0,12,2,2,4,4,0,12,0.5,0.5,1,1,1,1,0,green
13,1,1,10,0,0,12,2,2,8,0,0,12,0.5,0.5,1,1,1,0,0,blue
14,2,10,0,0,0,12,4,8,0,0,0,12,0.5,0.5,1,1,0,0,0,blue